author,edition_year,name,price,publisher,ratings
今何在,2001-4,悟空传,14.80元,光明日报出版社,8.4
余华,2005-8,兄弟（上）,16.00元,上海文艺出版社,8.3
艾米莉·勃朗特,人民文学出版社,呼啸山庄,1999-1,张扬,8.4
金庸,1994-5,笑傲江湖（全四册）,76.80元,生活·读书·新知三联书店,9.0
[美] M·斯科特·派克,吉林文史出版社,少有人走的路,2007-1,于海生,8.4
刘瑜,2009-6,民主的细节,25.00,上海三联书店,8.6
龙应台,2008-12,亲爱的安德烈,26.00,人民文学出版社,8.7
[美] 卡勒德·胡赛尼,上海人民出版社,灿烂千阳,2007-9,李继宏,8.8
海明威,上海译文出版社,老人与海,1999-10,吴劳,8.3
张德芬,2008-1,遇见未知的自己,29.00,华夏出版社,8.1
[英] 乔治·奥威尔,上海译文出版社,一九八四·动物农场,2003-4,董乐山,9.3
[巴西]保罗·柯艾略,南海出版公司,牧羊少年奇幻之旅,2009-3-1,丁文林,8.6
[英] 阿·柯南道尔,群众出版社,福尔摩斯探案全集（上中下）,1981-8,丁钟华 等,9.2
郭敬明,2008-10,小时代1.0折纸时代,29.80元,长江文艺出版社,6.5
[美] 弗拉基米尔·纳博科夫,上海译文出版社,洛丽塔,2005-12,主万,7.7
[哥伦比亚] 加西亚·马尔克斯,上海译文出版社,百年孤独,1989-10,黄锦炎,8.9
[日] 村上春树,南海出版公司,1Q84 BOOK 2,2010-6,施小炜,8.4
安妮宝贝,2007-9,素年锦时,27.00元,作家出版社,7.8
[日] 岩井俊二,天津人民出版社,情书,2004-7,穆晓芳,8.6
蔡智恒,1999-11-1,第一次的亲密接触,12.80,知识出版社,7.4
金庸,生活·读书·新知三联书店,神雕侠侣,1994-5,有1996年11月北平第4次印本,8.8
韩寒,2006-1,一座城池,19.90元,二十一世纪出版社,7.4
小仲马,外国文学出版社,茶花女,1997-3,王振孙,8.2
[美国] J. D. 塞林格,译林出版社,麦田里的守望者,1997-2,施咸荣,7.9
韩寒,2009-1,他的国,25.00元,万卷出版公司,7.5
高铭,2010-2,天才在左 疯子在右,29.80元,武汉大学出版社,8.2
[英] 奥斯丁,人民文学出版社,傲慢与偏见,1993-7,张玲,8.8
张爱玲,1997-3-1,倾城之恋,11.00,花城出版社,8.5
韩寒,2000-5,三重门,16.00,作家出版社,7.4
[美] 卡勒德·胡赛尼,上海人民出版社,追风筝的人,2006-5,李继宏,8.9
[法] 圣埃克苏佩里,人民文学出版社,小王子,2003-8,马振聘,9.0
钱锺书,1991-2,围城,19.00,人民文学出版社,8.9
[日] 东野圭吾,南海出版公司,解忧杂货店,2014-5,李盈春,8.6
李可,2007-9,杜拉拉升职记,26.00元,陕西师范大学出版社,7.8
当年明月,2006-9,明朝那些事儿（壹）,24.80,中国友谊出版公司,8.7
[英] J. K. 罗琳,人民文学出版社,哈利·波特与阿兹卡班的囚徒,2000-9,郑须弥,8.9
龙应台,2009-10,目送,39.00元,生活·读书·新知三联书店,8.7
[法] 玛格丽特·杜拉斯,上海译文出版社,情人,2005-7,王道乾,8.1
[英] J. K. 罗琳,人民文学出版社,哈利·波特与密室,2000-9,马爱新,8.9
[美] 黄仁宇,1997-5,万历十五年,18.00元,生活·读书·新知三联书店,8.9
余华,1998-5,活着,12.00元,南海出版公司,9.1
[日] 东野圭吾,南海出版公司,白夜行,2008-9,刘姿君,9.1
[日] 村上春树,上海译文出版社,挪威的森林,2001-2,林少华,8.0
[日] 东野圭吾,南海出版公司,嫌疑人X的献身,2008-9,刘子倩,8.9
刘慈欣,2008-1,三体,23.00,重庆出版社,8.8
杨绛,2003-7,我们仨,18.80元,生活·读书·新知三联书店,8.7
郭敬明,2003-1,幻城,28.00元,春风文艺出版社,7.0
辛夷坞,2007-8,致我们终将逝去的青春,25.00元,朝华出版社,7.8
[日] 村上春树,南海出版公司,1Q84 BOOK 1,2010-5,施小炜,8.3
姜戎,2004-4,狼图腾,32.00元,长江文艺出版社,8.3
顾漫,2009-8,微微一笑很倾城,25.00,江苏文艺出版社,8.0
韩寒 主编,2010-7-6,独唱团（第一辑）,16.00元,书海出版社,7.8
[捷克] 米兰·昆德拉,上海译文出版社,不能承受的生命之轻,2003-7,许钧,8.5
[清] 曹雪芹 著,1996-12,红楼梦,59.70元,人民文学出版社,9.6
郭敬明,2003-11,梦里花落知多少,20.00元,春风文艺出版社,7.1
[美] 丹·布朗,上海人民出版社,达·芬奇密码,2004-2,朱振武,8.2
柴静,2013-1-1,看见,39.80元,广西师范大学出版社,8.8
[哥伦比亚] 加西亚·马尔克斯,南海出版公司,百年孤独,2011-6,范晔,9.2
安妮宝贝,2006-3,莲花,25.00元,作家出版社,8.0
[英] J. K. 罗琳,人民文学出版社,哈利·波特与火焰杯,2001-5,马爱新,9.0
沈从文,2002-4,边城,12.00元,北岳文艺出版社,8.6
[英] 毛姆,上海译文出版社,月亮和六便士,2006-8,傅惟慈,9.0
幾米,2002-8,向左走·向右走,16.00元,生活·读书·新知三联书店,8.4
余华,2012-8-1,活着,20.00元,作家出版社,9.3
霍达,1988-12-1,穆斯林的葬礼,32.00,北京十月文艺出版社,8.2
张嘉佳,2013-11-1,从你的全世界路过,CNY 39.80,湖南文艺出版社,7.1
郭敬明,2007-5,悲伤逆流成河,24.00元,长江文艺出版社,6.2
[日] 东野圭吾,南海出版公司,恶意,2009-6,娄美莲,8.4
韩寒,2010-9,1988：我想和这个世界谈谈,25.00元,国际文化出版公司,7.9
顾漫,2007-4,何以笙箫默,15.00元,朝华出版社,7.8
路遥,2005-1,平凡的世界（全三部）,64.00元,人民文学出版社,9.0
[英] 夏洛蒂·勃朗特,2003-11,简爱（英文全本）,18.00元,世界图书出版公司,8.5
张爱玲,2006-12,半生缘,28.00元,北京十月文艺出版社,8.6
江南,2004-1,此间的少年,25.00元,华文出版社,8.4
宋鸿兵 编著,2007-6,货币战争,38.00元,中信出版社,7.2
匪我思存,2007-2,佳期如梦,20.00元,新世界出版社,7.9
